iter	Logloss
0	0.6915711302
1	0.68993504
2	0.6881383984
3	0.6865648546
4	0.685173835
5	0.68374695
6	0.6819880339
7	0.6806974606
8	0.67929156
9	0.6782827366
10	0.6764580188
11	0.6751394275
12	0.6741283951
13	0.6729565788
14	0.6715185912
15	0.670233017
16	0.6693281858
17	0.6682382728
18	0.6670722693
19	0.6660713513
20	0.6656749137
21	0.6644533973
22	0.6633709248
23	0.6625149216
24	0.661981649
25	0.6611422707
26	0.6599984142
27	0.6591972265
28	0.6582714108
29	0.657547011
30	0.6565389432
31	0.6558210538
32	0.6548400159
33	0.6542361169
34	0.6537333037
35	0.6526968691
36	0.6519186422
37	0.6511634342
38	0.6503613745
39	0.6495845426
40	0.6487833548
41	0.6479326995
42	0.6472009174
43	0.6463959513
44	0.6456453355
45	0.6450501558
46	0.6444253304
47	0.6429164839
48	0.6420237435
49	0.6413451491
50	0.6406202843
51	0.640122819
52	0.6395070036
53	0.6386429787
54	0.6382855453
55	0.6376483967
56	0.6373876314
57	0.63719819
58	0.6365619133
59	0.6361244368
60	0.6356929475
61	0.6352930802
62	0.6351296805
63	0.6341167299
64	0.6332659583
65	0.6330346642
66	0.6324355318
67	0.6320703092
68	0.631523202
69	0.6310797382
70	0.6304968236
71	0.6301570033
72	0.6297192942
73	0.6288096383
74	0.6283766377
75	0.6280270517
76	0.6274621571
77	0.6270442118
78	0.6268336115
79	0.6263273687
80	0.6258302521
81	0.6253982978
82	0.6249775623
83	0.6247714961
84	0.6243065828
85	0.6239244448
86	0.6234304672
87	0.6230915769
88	0.6225377848
89	0.6222375501
90	0.6217703117
91	0.6213346952
92	0.6208201401
93	0.6205100816
94	0.6200779529
95	0.6197323197
96	0.619399126
97	0.6192315991
98	0.6189270048
99	0.6186803066
100	0.6180519936
101	0.61760324
102	0.6174553025
103	0.6171947697
104	0.6168668076
105	0.6167453768
106	0.6165633759
107	0.6161321772
108	0.6157152201
109	0.6153293037
110	0.6150934175
111	0.6147531321
112	0.6145756071
113	0.6141890513
114	0.6137748262
115	0.6131727873
116	0.6128640658
117	0.6125240711
118	0.6123775287
119	0.61192645
120	0.6113815516
121	0.6110781198
122	0.6108251438
123	0.6107049336
124	0.6103895855
125	0.610053311
126	0.6097530182
127	0.6093516395
128	0.60903478
129	0.6087214082
130	0.608546499
131	0.608404665
132	0.6081727315
133	0.6080178767
134	0.6077518216
135	0.6073064396
136	0.6069125596
137	0.6068005456
138	0.6065785521
139	0.6062350696
140	0.6059489602
141	0.6056003043
142	0.6054555057
143	0.6052544386
144	0.6049816988
145	0.6046402508
146	0.6042635188
147	0.6038820783
148	0.6036445063
149	0.6033600245
150	0.6030210179
151	0.6028294258
152	0.6025132638
153	0.6022184351
154	0.6020977018
155	0.6017552075
156	0.6016007015
157	0.6013551659
